text,Masculine-centric / Brutal sport,Male dominated sport,Personal impression/Intuition,Lack of familiarity,Underrepresentation of Women,Wage Inequality,Sexist or sexualised,Media visibility / lack of awareness,Gender disparities,Other,Country,Gender,Most inclusive Sport,Age,Least inclusive Sport,ResponseId
A sport of toxic masculinity,1,,,,,,,,,,UK,Woman,Volleyball,35-44,Rugby,154931905
I had to pick one- and handball is the sport i know next to nothing about.,,,,1,,,,,,,UK,Man,Football,45-54,Handball,154931961
I don't see many cyclists,,,,,,,,1,,,Spain,Man,Athletics,55-65,Cycling,154932148
its violence,,,,,,,,,,1,Spain,Man,Basketball,55-65,Rugby,154932154
they are all equally,,,,,,,,,,1,Spain,Woman,Basketball,45-54,Handball,154932182
It is very difficult for men and women to play together in a sport like rugby given the obvious physical differences.,,,,,,,,,1,,Spain,Man,Gymnastics,45-54,Rugby,154932186
It is not a mass sport,,,,,,,,,,,Spain,Woman,Gymnastics,35-44,Volleyball,154932195
"yes, I can do it",,,,,,,,,,1,Poland,Woman,Gymnastics,35-44,Cycling,154932628
I don't know him very well.,,,,1,,,,,,,Poland,Man,Tennis,45-54,Golf,154932636
Physical strength affects who can compete against whom,1,,,,,,,,,,Sweden,Woman,Golf,55-65,Rugby,154942838
I only seen men play,,,,,,,,1,,,UK,Woman,Gymnastics,18-24,Football,155085750
I don't know women's rugby,,,,1,,,,,1,,Spain,Woman,Football,25-34,Rugby,155085759
Don't know a lot about it,,,,1,,,,,,,UK,Woman,Gymnastics,45-54,Golf,155085769
There is no women's golf follow-up,,,,,,,,,1,,Spain,Woman,Gymnastics,45-54,Golf,155085776
It is one of the least feminine sports there can be.,1,,,,,,,,,,Spain,Woman,Gymnastics,45-54,Rugby,155085801
It's a.mens sport,,,,,,,,,,,UK,Woman,Athletics,35-44,Basketball,155085806
"It's just the one I had to pick last, you just don't see may women getting down and dirty in piles in the game as much as the men",1,,,,,,,1,,,UK,Woman,Football,35-44,Rugby,155085816
Mostly girls who exercise,,,,,,,,,,1,Sweden,Woman,Football,25-34,Gymnastics,155085821
It selective the one male do that female can not do,,,,,,,,,,,UK,Woman,Football,25-34,Gymnastics,155085826
Not very compatible,,,,,,,,,,,France,Woman,Athletics,45-54,Basketball,155085841
I don't remember a women's rugby league at the moment.,,,,1,,,,,1,,Spain,Woman,Gymnastics,45-54,Rugby,155085871
It's not known for a woman to be a rugby athlete and it's not advertised as it is for men,,,,1,,,,1,1,,UK,Woman,Gymnastics,25-34,Rugby,155085876
Due to a lot of physical contact,1,,,,,,,,,,Poland,Man,Tennis,18-24,Rugby,155085881
"In football there is a lot of discrimination against women, they are treated as incapable of the sport.",,,,,,,1,,1,,Spain,Woman,Tennis,35-44,Football,155085885
"because male volleyball players are often criticized. Furthermore, in women it is sexualized in the locker room while in men it is not",,,,,,,1,,,,Spain,Woman,Athletics,18-24,Volleyball,155085890
because there are almost no women,,1,,,1,,,,,,Spain,Woman,Athletics,18-24,Golf,155085895
I haven't seen mixed basketball groups,,,,,,,,1,,,Spain,Man,Golf,45-54,Basketball,155085896
Don't know much about that sport,,,,1,,,,,,,Sweden,Woman,Athletics,35-44,Rugby,155085899
We see more men's competitions than women's,,1,,,,,,1,,,France,Man,Athletics,55-65,Golf,155085909
I don't really see women participate,,,,,1,,,1,,,UK,Woman,Cycling,35-44,Tennis,155085910
Cohesion,,,,,,,,,,1,France,Woman,Football,45-54,Rugby,155085914
Because it is a very aggressive sport that women do not normally participate in.,1,,,,,,,,,,Spain,Woman,Athletics,18-24,Rugby,155085915
Because there are fewer women in this sport,,,,,1,,,,,,France,Woman,Handball,45-54,Golf,155085918
very little woman in rugby,,,,,,,,,1,,France,Man,Gymnastics,55-65,Rugby,155085919
Not many girls are invited to participate,,1,,,,,,,,,Sweden,Woman,Football,45-54,Rugby,155085920
Women's rugby not at all publicized,,,,,,,,1,1,,France,Man,Gymnastics,35-44,Rugby,155085924
The number of women who practice it is low and there is no visibility,,,,,,,,1,,,Spain,Woman,Gymnastics,25-34,Golf,155085925
Because there are more women,,,,,,,,,,1,Spain,Woman,Rugby,35-44,Gymnastics,155085929
I think there are men everywhere in decision-making positions,,,1,,,,,,,,Sweden,Woman,Golf,55-65,Football,155085930
