text,Sport specific mention,Equal opportunities / good opportunities in general,Physical contact/Masculine,Earnings related,Popularity and impact,Equal representation,Inclusive sport participation,Gender Equality,Women in Sports,Female representation,Discrimination themes,Media visibility / awareness,Other,Country,Gender,Most inclusive Sport,Age,Least inclusive Sport,ResponseId
A Sport known for female athletes,,,,,,,,,,1,,,,UK,Woman,Volleyball,35-44,Rugby,154931905
Men and women's events are the same,,,,,,,,1,,1,,,,UK,Woman,Athletics,55-65,Volleyball,154931928
Both genders get to play in professional leagues. Both have tv coverage.,,,,,,,,,,,,1,,UK,Man,Football,45-54,Handball,154931961
because contact force is not used,,,,,,,,,,,,,1,Spain,Man,Athletics,55-65,Cycling,154932148
because I see it,,,,,,,,,,,,,1,Spain,Man,Basketball,55-65,Rugby,154932154
they all are,,,,,,,,,,,,,1,Spain,Woman,Basketball,45-54,Handball,154932182
its elasticity,,,,,,,,,,,,,1,Spain,Man,Gymnastics,55-65,Golf,154932184
They are in the same condition,,,,,,,,1,,,,,,Spain,Man,Gymnastics,45-54,Rugby,154932186
In general it is an equal sport for both genders,,,,,,,,1,,,,,,Spain,Woman,Gymnastics,35-44,Volleyball,154932195
I'm thinking there,,,,,,,,,,,,,1,Poland,Woman,Gymnastics,35-44,Cycling,154932628
The popularity and earnings of men's and women's tennis are comparable.,1,,,1,1,,,,,,,,,Poland,Man,Tennis,45-54,Golf,154932636
Everyone counts regardless of orientation or opinion,,,,,,,1,,,,,,,Sweden,Woman,Tennis,25-34,Football,154933065
Women and men can participate in the same competition,,,,,,,,1,,,,,,Sweden,Woman,Golf,55-65,Rugby,154942838
I see more women comfortable participating,,,,,,,,,,1,,1,,UK,Woman,Gymnastics,18-24,Football,155085750
Because they fight to put it on the same level as the male,,,,,,,,1,,,,,,Spain,Woman,Football,25-34,Rugby,155085759
It's as always be that way,,,,,,,,,,,,,1,UK,Woman,Gymnastics,45-54,Golf,155085769
Historically there is a similar expectation for the masculine and feminine,,,1,,,,,,,,,,,Spain,Woman,Gymnastics,45-54,Golf,155085776
many women have always competed,,,,,,,,,,1,,,,Spain,Woman,Gymnastics,45-54,Rugby,155085801
Tennis,1,,,,,,,,,,,,,UK,Woman,Athletics,35-44,Basketball,155085806
Ever since the lionesses won for the country I feel female football has boomed,1,,,,,,,,,,,,,UK,Woman,Football,35-44,Rugby,155085816
Mostly guys playing,,,,,,,,,,,,,1,Sweden,Woman,Football,25-34,Gymnastics,155085821
Because both genders are interested at it,,,,,,1,,,,,,,,UK,Woman,Football,25-34,Gymnastics,155085826
We see a lot of advertising,,,,,,,,,,,,1,,France,Woman,Athletics,45-54,Basketball,155085841
"because despite being a sport with greater female participation, it has opened up to inclusion",,,,,,,,,,1,,,,Spain,Woman,Gymnastics,45-54,Rugby,155085871
Because it doesn't discriminate between male or female and both get paid the same to do the same,,,,,,,,,,,1,,,UK,Woman,Gymnastics,25-34,Rugby,155085876
Due to the lack of physical contact,,,1,,,,,,,,,,,Poland,Man,Tennis,18-24,Rugby,155085881
"Generally or in my opinion, tennis is a sport practiced by both genders and it is normal to see both genders practicing it",1,,,,,,,,,,,,,Spain,Woman,Tennis,35-44,Football,155085885
"because it is not criticized or compared to any gender or the other, there is a constant competition of which gender is better",,,,,,,,,,,,,1,Spain,Woman,Athletics,18-24,Volleyball,155085890
because they charge the same,,,,,,,,1,,,,,,Spain,Woman,Athletics,18-24,Golf,155085895
because participation is equal,,,,,,,,1,,,,,,Spain,Man,Golf,45-54,Basketball,155085896
"Women does cycling,as well as men and children",,,,,,,,,,1,,,,UK,Woman,Cycling,35-44,Tennis,155085910
Why the physical condition of both men and women is respected,,,1,,,,,,,,,,,Spain,Woman,Athletics,18-24,Rugby,155085915
I find that it’s a sport that brings people together,1,,,,,,,,,,,,,France,Woman,Handball,45-54,Golf,155085918
there is not too much difference between man and woman,,,,,,,,,,,,,1,France,Man,Gymnastics,55-65,Rugby,155085919
Based on tv time,,,,,,,,,,,,1,,Sweden,Woman,Athletics,35-44,Rugby,155085921
Well represented for both sexes at the Olympic Games,,,,,,,1,,,,,,,France,Man,Gymnastics,35-44,Rugby,155085924
There is more female participation,,,,,,,,,,1,,,,Spain,Woman,Gymnastics,25-34,Golf,155085925
Because there are only men,,,,,,,,,,1,,,,Spain,Woman,Rugby,35-44,Gymnastics,155085929
Because currently we have it associated with men,,,,,,,,,,,,,1,Spain,Woman,Football,45-54,Gymnastics,155085932
