text,Gender equality - general,Equal pay,Increased awareness,Advocacy and Activism,Policy Changes,Media Coverage,Changing attitudes /societal,Representation and role models,Legal Frameworks,Gender inclusivity in traditionally masculine sports,Access to resources and education,Race related themes,Transgender related themes,Other,Country,Gender,Most inclusive Sport,Age,Least inclusive brands,ResponseId
The media cover more women's sport,,,,,,1,,,,,,,,,UK,Woman,Athletics,55-65,Volleyball,154931928
For instance in football. Womens football get their own highlight shows. Live televised matches. And Football Focus covers both sports.,,,,,,,,,,1,,,,,UK,Man,Football,45-54,Handball,154931961
because there is more technology,,,,,,,,,,,,,,1,Spain,Man,Athletics,55-65,Cycling,154932148
for your successes,,,,,,,,,,,,,,1,Spain,Man,Basketball,55-65,Rugby,154932154
It seems that since the soccer players won the World Cup there are more professional women,,,,,,,,,,1,,,,,Spain,Woman,Unstated,55-65,,154932167
For our rights,,,,1,,,,,,,,,,,Spain,Man,Gymnastics,55-65,Golf,154932184
Women's sports are being promoted and given visibility,,,,,,,,,,,,,,1,Spain,Man,Gymnastics,45-54,Rugby,154932186
Earnings have become more equal.,1,,,,,,,,,,,,,,Poland,Man,Tennis,45-54,Golf,154932636
"We are in 2024 now, it goes without saying that things have gotten somewhat better, even if there is still some way to go",,,,,,,,,,,,,,1,Sweden,Woman,Tennis,25-34,Football,154933065
Became another generation,,,,,,,,,,,,,,1,Sweden,Woman,Volleyball,25-34,Golf,154933207
Women's teams and leagues are taking up space in the media in a way they didn't before,,,,,,1,,,,,,,,,Sweden,Woman,Golf,55-65,Rugby,154942838
More women in sports,,,,,,,,,,,,,,1,UK,Woman,Unstated,25-34,,155085744
People are trying to more inc,,,,,,,,,,,,,,1,UK,Woman,Gymnastics,18-24,Football,155085750
Because they are working on it,,,,,,,,,,,,,,1,Spain,Woman,Football,25-34,Rugby,155085759
Women's sports now have many more followers,,,,,,,,,,,,,,1,Spain,Woman,Gymnastics,45-54,Golf,155085776
because women have been fighting hard,,,,,,,,,,,,,,1,Spain,Woman,Gymnastics,45-54,Rugby,155085801
More women do.mens sports,,,,,,,,,,1,,,,,UK,Woman,Athletics,35-44,Basketball,155085806
Again it's to do with the lionesses winning. More girls have been coming to play football and feeling like they can do it too,,,,,,,,,,1,,,,,UK,Woman,Football,35-44,Rugby,155085816
Because both genders are really showing their talent and performing well,,,,,,,,,,,,,,1,UK,Woman,Football,25-34,Gymnastics,155085826
"It has become more open, perhaps due to digital media that has allowed it to be more public.",,,,,,,,,,,,,,1,Spain,Woman,Gymnastics,45-54,Rugby,155085871
Because I believe that people regardless of gender are treated the same and what matters is their skills,,,,,,,,,,,,,,1,Poland,Man,Tennis,18-24,Rugby,155085881
"Well, there are still cases where there is no gender inclusion, but many years ago it was classified that sport was only for men.",,,,,,,,,,1,,,,,Spain,Woman,Tennis,35-44,Football,155085885
"because before it was much stricter, women were not even allowed to participate",,,,,,,,,,,,,,1,Spain,Woman,Athletics,18-24,Volleyball,155085890
for the struggle of women,,,,,,,,,,,,,,1,Spain,Woman,Athletics,18-24,Golf,155085895
There are more women's teams although not mixed,,,,,,,,,,,,,,1,Spain,Man,Golf,45-54,Basketball,155085896
There are more and more people of both sexes in various professional sports,,,,,,,,,,1,,,,,France,Man,Athletics,55-65,Golf,155085909
Its easy for all genders,,,,,,,,,,,,,,1,UK,Woman,Cycling,35-44,Tennis,155085910
Because women have fought to be able to play the same sports as men,,,,,,,,,,1,,,,,Spain,Woman,Athletics,18-24,Rugby,155085915
It has evolved a bit though.,,,,,,,,,,,,,,1,France,Woman,Handball,45-54,Golf,155085918
Ex salaries in the national football team,,,,,,,,,,,,,,1,Sweden,Woman,Athletics,35-44,Rugby,155085921
This is developing in the right direction,,,,,,,,,,,,,,1,France,Man,Gymnastics,35-44,Rugby,155085924
feminist fight,,,,,,,,,,,,,,1,Spain,Woman,Gymnastics,25-34,Golf,155085925
More resumes in media and audiovisual,,,,,,,,,,,,,,1,France,Woman,Gymnastics,55-65,Rugby,155085937
We see both men and women,,,,,,,,,,,,,,1,France,Woman,Football,35-44,Tennis,155085939
For the women,,,,,,,,,,,,,,1,Spain,Man,Basketball,35-44,Rugby,155085941
More visibility of women's sports,,,1,,,,,,,,,,,,Spain,Man,Tennis,45-54,Rugby,155085942
