text,Status quo,Gender pay gap,Gender stereotypes,Gender inequality in sports,Gendered sports classification,Lack of awareness,Equal Rights,Resistance to change,Persistent stereotypes in general and in media,Country,Gender,Most inclusive Sport,Age,Least inclusive Sport,ResponseId
There is talk but no walk,,,,,,1,,,,UK,Woman,Volleyball,35-44,Rugby,154931905
There is a lot of difference between the different salaries and awards,,,,,,,,,,Spain,I identify in another way,Unstated,55-65,,155085809
"The pay us different, women teams receive less advertisements and hype",,1,,1,,,,,,UK,Woman,Gymnastics,25-34,Rugby,155085876
The same bigotry as before and always,,,,,,,,,,Sweden,Woman,Football,45-54,Rugby,155085920
No change,1,,,,,,,,,France,Man,Unstated,55-65,,155085933
there has been no improvement,1,,,,,,,,,Spain,Woman,Volleyball,25-34,Football,155085936
Quality costs money,,,,,,,,,,Sweden,Man,Unstated,35-44,,155085952
Because we don't see more women,,,1,,,,,,1,France,Woman,Gymnastics,25-34,Rugby,155085953
Just pretending,,,,,,,,,,Germany,Woman,Golf,35-44,Football,155085966
Because it fits too much into customs,,,,,,,,1,1,France,Woman,Basketball,35-44,Cycling,155085986
Because in all professional sports men and women play,,,,1,,,,,,Spain,Woman,Football,45-54,Golf,155086046
An example: any leader or president in soccer?,,,,,,,,,,Spain,Man,Gymnastics,55-65,Handball,155086054
I believe that there are more feminine and masculine sports,,,,1,1,,,,,Poland,Woman,Football,45-54,Tennis,155086061
I have no idea,,,,,,1,1,1,,Poland,Man,Athletics,45-54,Golf,155086102
"I find that nothing changes in sport there are men on one side and women on the other, the good and the bad are sidelined",,,,,,,,,,France,Man,Football,35-44,Tennis,155086113
"It seems to me that almost no progress has been made, and we see that on television and networks",,,,,,1,,,1,Spain,Woman,Volleyball,35-44,Football,155086126
Because there are still many differences,,,,,,,,,1,Spain,Woman,Cycling,18-24,Volleyball,155086139
We cannot share our orientation,,,,,,,,,,France,Man,Tennis,55-65,Football,155086148
nothing has changed here - women are marginalized,,,1,,,,,,,Poland,Man,Basketball,35-44,Rugby,155086161
Women are often put down,,,1,,,,,,1,France,Woman,Gymnastics,18-24,Basketball,155086164
It takes too long for women to enter all sporting contexts.,,,1,1,1,,,,1,Sweden,Man,Athletics,25-34,Basketball,155086204
Haven't heard or that,,,,,,1,,,,Sweden,Man,Gymnastics,45-54,Rugby,155086241
Women have always been included in sports. This discussion seems ridiculous to me.,,,,1,1,,,,,Spain,Man,Tennis,55-65,Rugby,155086251
"There is no evolution, it's just a facade",,,,,,,,,,France,Woman,Athletics,35-44,Football,155086257
We still don't see enough female matches or encounters on TV,,,,,,,,,,France,Woman,Unstated,45-54,,155086299
no change,1,,,,,,,,,France,Woman,Volleyball,35-44,Football,155086317
Because it's still like before,1,,,,,,1,1,1,France,Woman,Football,25-34,Gymnastics,155086334
The consciences are difficult to move,,,,,,,,1,1,Spain,Woman,Football,45-54,Rugby,155086356
Vet service,,,,,,,,,,Germany,Woman,Volleyball,55-65,Football,155086366
